standard_code,business_domain,control_topic,standard_requirement,current_source_basis,proposed_source_basis,evidence_excerpt,match_score,confidence,review_status
AST-016,资产,固定资产购置,对于使用期限未满、非正常报废的固定资产，应由固定资产使用部门提出报废申请，注明报废理由、估计清理费用和可回收残值、预计处置价格等。公司应组织有关部门进行技术鉴定，按规定程序审批后进行报废清理。,《企业内部控制应用指引第8号——资产管理》（财会〔2010〕11号）；沪国资委评价〔2014〕7号《上海市国资委委管企业资产减值准备财务核销工作办法》；沪国资委评估〔2019〕366号《上海市企业国有资产评估管理暂行办法》；沪国资委评估〔2020〕100号《上海市企业国有资产评估核准备案操作手册》,【0204】外规汇编\第二篇 财务管理.docx；段落1653,五、募集资金使用核查 5.1公司债券主承销商与律师事务所应当在申报发行阶段，按照规定对募集资金用途是否合法合规、是否存在违规改变前次募集资金用途且未作纠正等情形进行核查，并发表明确意见。 5.2募集资金全部使用完毕前，受托管理人应当至少每季度核查一次发行人募集资金使用凭证、募集资金专户流水。 受托管理人按照前款规定进行核查，应当重点关注募集资金专户运作情况、募集资金使用情况、临时补流情况、募集资金用途变更调整情况、募集资金相关信息披露合...,31,low,needs_manual_review
AST-017,资产,投资管理,对拟出售或投资转出及非货币交换的固定资产，应对固定资产价值进行评估，并出具资产评估报告。报经企业授权部门或人员批准后予以出售或转让。,《企业内部控制应用指引第8号——资产管理》（财会〔2010〕11号）；沪国资委评价〔2014〕7号《上海市国资委委管企业资产减值准备财务核销工作办法》；沪国资委评估〔2019〕366号《上海市企业国有资产评估管理暂行办法》；沪国资委评估〔2020〕100号《上海市企业国有资产评估核准备案操作手册》,【0204】外规汇编\第二篇 财务管理.docx；段落1249,第十条企业进行资产减值准备财务核销，应当在对资产损失组织认真清理调查的基础上，取得合法证据，具体包括：具有法律效力的相关证据，社会中介机构的法律鉴证或公证证明、以及特定事项的企业内部证据等。 具有法律效力的外部证据，是指企业收集到的司法机关、公安机关、行政部门、专业技术鉴定部门等依法出具的与本企业资产损失相关的具有法律效力的书面文件，主要包括：司法机关的判决或者裁定、公安机关的立案结案证明、回复；工商管理部门出具的注销、吊销及停业证明；...,23,low,needs_manual_review
AST-018,资产,无形资产管理,公司应明确无形资产的权属关系，及时办理产权登记手续，明确商标等无形资产进行注册和登记的岗位、时间安排，并定期检查其时效，以便及时更新注册信息。,《企业内部控制应用指引第8号——资产管理》（财会〔2010〕11号）；沪国资委评价〔2014〕7号《上海市国资委委管企业资产减值准备财务核销工作办法》；沪国资委评估〔2019〕366号《上海市企业国有资产评估管理暂行办法》；沪国资委评估〔2020〕100号《上海市企业国有资产评估核准备案操作手册》,《上海市国资委委管企业资产减值准备财务核销工作办法》沪国资委评价﹝2014﹞7号.docx；段落4,第三条 本办法所称资产减值准备财务核销是指企业按照国家有关财务会计制度和市国资委有关财务监督规定，对预计可能发生损失的资产，经取得合法、有效证据证明确实发生事实损失，对该项资产进行处置，并对其账面余额和相应的资产减值准备进行财务核销的工作。 按照《企业会计准则》的相关规定，资产减值准备计提一般包括：坏账准备、存货跌价准备、贷款减值准备、可供出售金融资产减值准备、持有至到期投资减值准备、长期股权投资减值准备、投资性房地产的减值准备、固定资...,24,low,needs_manual_review
AST-019,资产,所属企业管控,企业的注册商标授权参股企业使用的，应履行决策审批程序，并按市场公允价格收取授权使用费。,《企业内部控制应用指引第8号——资产管理》（财会〔2010〕11号）；沪国资委评价〔2014〕7号《上海市国资委委管企业资产减值准备财务核销工作办法》；沪国资委评估〔2019〕366号《上海市企业国有资产评估管理暂行办法》；沪国资委评估〔2020〕100号《上海市企业国有资产评估核准备案操作手册》,【0204】外规汇编\第二篇 财务管理.docx；段落1249,第十条企业进行资产减值准备财务核销，应当在对资产损失组织认真清理调查的基础上，取得合法证据，具体包括：具有法律效力的相关证据，社会中介机构的法律鉴证或公证证明、以及特定事项的企业内部证据等。 具有法律效力的外部证据，是指企业收集到的司法机关、公安机关、行政部门、专业技术鉴定部门等依法出具的与本企业资产损失相关的具有法律效力的书面文件，主要包括：司法机关的判决或者裁定、公安机关的立案结案证明、回复；工商管理部门出具的注销、吊销及停业证明；...,17,low,needs_manual_review
SALE-001,销售,客户信用管理,公司应制定销售管理制度，对销售洽谈、定价、客户信用、发货和收款等环节的岗位职责、审批权限、工作流程进行明确规范。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落129,...部型机构集聚。 2.积极发展前沿产业。聚焦集成电路、人工智能、生物医药、航空航天、维修和绿色再制造等前沿领域，制定新片区创新型产业发展规划，推动国际开放型合作平台建设，建立以关键核心技术为突破口的前沿产业集群。 3.大力发展新型国际贸易。支持发展数字贸易，推动建立跨境电商海外仓。推进大宗商品交易服务平台建设，不断提升以人民币计价的大宗商品交易规模。扩大服务贸易规模，重点发展文化服务、技术产品、信息通讯、医疗健康等资本技术密集型服务贸易。...,7,low,needs_manual_review
SALE-002,销售,销售合同与订单,公司应建立健全销售合同订立及审批管理制度，对签订合同的范围、合同拟定，合同审批、合同用印等环节的岗位职责、审批权限、工作流程进行明确规范。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落9,第五条 企业应当完善法律纠纷案件管理制度机制，及时研究应对。建立健全统一管理、分类指导、分级负责、专人跟进的案件管理体系。明确各部门之间、集团与所属企业之间的案件管理职责要求和任务分工，优化管控模式，完善案件管理制度，细化案件管理流程。,12,low,needs_manual_review
SALE-003,销售,客户信用管理,公司应建立客户投诉制度，对客户投诉的接收、原因查找、问题解决、反馈客户等环节的岗位职责、审批权限、工作流程进行明确规范。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落1008,第四十四条国有独资公司和国有控股公司应建立外部董事、独立董事制度，外部董事、独立董事人数应超过董事会全部成员的半数，以保证董事会能够在重大决策、重大风险管理等方面作出独立于经理层的判断和选择。,6,low,needs_manual_review
SALE-004,销售,应收款及催收管理,公司应建立应收账款管理制度，对应收账款对账、分析和催收等环节的岗位职责、审批权限、工作流程进行明确规范。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落922,...险管理的总体规划，分步实施，可先选择发展战略、投资收购、财务报告、内部审计、衍生产品交易、法律事务、安全生产、应收账款管理等一项或多项业务开展风险管理工作，建立单项或多项内部控制子系统。通过积累经验，培养人才，逐步建立健全全面风险管理体系。,11,low,needs_manual_review
SALE-005,销售,销售,公司重大的销售业务谈判应吸收财会、法律等专业人员参加，并形成完整的书面记录。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落502,第十三条审计人员应当具备与其从事的审计工作相适应的专业知识和业务能力。 审计机关根据工作需要，可以聘请具有与审计事项相关专业知识的人员参加审计工作。,9,low,needs_manual_review
SALE-006,销售,客户信用管理,公司应建立客户信用档案，明确客户的信用额度和信用期限，对于境外客户新开发客户应进行背景调查和建立信用保障机制。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落129,...法和实施细则，提高对国际航线、货物资源的集聚和配置能力。 8.实行人员从业自由。推动建立外国人在区内工作许可制度和人才签证制度。制定完善海外人才引进政策和管理办法。研究制定境外专业人才执业备案管理办法。 9.提升网络信息服务能力。研究制定上海自贸试验区新片区跨境数据安全评估标准。加快推进国际通信设施建设，着力布局5G、云计算、物联网等新一代信息基础设施，不断提升区内宽带接入能力、网络服务质量和应用水平。 10.创新税制安排。研究出台上海...,11,low,needs_manual_review
SALE-007,销售,客户信用管理,公司应对客户信用进行定期的评估和调整，客户的应收账款总额应在信用额度内。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落937,（二） 现金流、应收账款及其占销售收入的比重、资金周转率；,8,low,needs_manual_review
SALE-008,销售,销售,公司应确定产品基准定价，并制定价格浮动范围表以及相应的授权审批表。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落153,...航天、新能源汽车、高端智能装备等产业集聚。 新片区根据先行先试推进情况和发展需要，不断扩大开放的领域、试点内容以及相应的制度创新措施。,9,low,needs_manual_review
SALE-009,销售,销售,公司在发货时应核对合同情况和收款情况，发货部门和仓储部门应对发货通知进行审核。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落998,第三十九条企业风险管理职能部门应定期对各部门和业务单位风险管理工作实施情况和有效性进行检查和检验，要根据本指引第三十条要求对风险管理策略进行评估，对跨部门和业务单位的风险管理解决方案进行评价，提出调整或改进建议，出具评价和建议报告，及时报送企业总经理或其委托分管风险管理工作的高级管理人员。,7,low,needs_manual_review
SALE-010,销售,销售,公司对于销售退回物资应建立清晰的台账，并对退回物资进行专门存放和管理。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落914,...策略目标，针对企业战略、规划、产品研发、投融资、市场运营、财务、内部审计、法律事务、人力资源、采购、加工制造、销售、物流、质量、安全生产、环境保护等各项业务管理及其重要业务流程，通过执行风险管理基本流程，制定并执行的规章制度、程序和措施。,4,low,needs_manual_review
SALE-011,销售,销售,公司应对发票进行严格管理，包括发票的购买、领用、开具、作废等有完整记录。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落799,第十八条企业内部控制评价工作组应当建立评价质量交叉复核制度，评价工作组负责人应当对评价工作底稿进行严格审核，并对所认定的评价结果签字确认后，提交企业内部控制评价部门。,6,low,needs_manual_review
SALE-012,销售,人员离职与交接,公司销售部门与业务结算部门对相关业务资料交接留下书面痕迹，同时定期核对业务数据，并形成相关记录。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落265,第二十五条监察机关在调查过程中，可以调取、查封、扣押用以证明被调查人涉嫌违法犯罪的财物、文件和电子数据等信息。采取调取、查封、扣押措施，应当收集原物原件，会同持有人或者保管人、见证人，当面逐一拍照、登记、编号，开列清单，由在场人员当场核对、签名，并将清单副本交财物、文件的持有人或者保管人。 对调取、查封、扣押的财物、文件，监察机关应当设立专用账户、专门场所，确定专门人员妥善保管，严格履行交接、调取手续，定期对账核实，不得毁损或者用于其他...,5,low,needs_manual_review
SALE-013,销售,客户信用管理,公司应定期或不定期开展客户满意度调查，对重大重要客户进行有效维护。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落973,第二十五条企业应对风险管理信息实行动态管理，定期或不定期实施风险辨识、分析、评价，以便对新的风险和原有风险的变化重新评估。,13,low,needs_manual_review
SALE-014,销售,担保管理,对于贸易类企业，公司应有明确的授信指标和规则，对贸易合作方及担保人的资信情况进行深入研判。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落120,...功能建设。牢固树立“以亩产论英雄”“以效益论英雄”“以能耗论英雄”“以环境论英雄”的导向，建立推动高质量发展的指标体系、政策体系、标准体系、统计体系、绩效评价及政绩考核体系。保持建设用地合理开发强度，分类确定土地利用规划参数，拓展单位土地的经济承载容量，提高单位土地产出水平。增强国际金融中心资源配置功能，积极探索合格境外投资者全面参与上海各类要素市场，大力吸引国际金融组织、国内外大型金融机构总部入驻，建设全球资产管理中心，加快打造全球性...,6,low,needs_manual_review
SALE-015,销售,融资管理,对融资租赁类企业，应对租赁客户资信开展了尽职调查程序。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落914,第六条本指引所称内部控制系统，指围绕风险管理策略目标，针对企业战略、规划、产品研发、投融资、市场运营、财务、内部审计、法律事务、人力资源、采购、加工制造、销售、物流、质量、安全生产、环境保护等各项业务管理及其重要业务流程，通过执行风险管理基本流程，制定并执行的规章制度、程序和措施。,6,low,needs_manual_review
SALE-016,销售,销售,若有销售返利，公司应有明确的年返、季返、月返政策和程序，相关的返利计算应经过恰当的审核。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落894,...的固有局限性内部控制具有固有局限性，存在不能防止和发现错报的可能性。此外，由于情况的变化可能导致内部控制变得不恰当，或对控制政策和程序遵循的程度降低，根据内部控制审计结果推测未来内部控制的有效性具有一定风险。,10,low,needs_manual_review
SALE-017,销售,销售,若有代理机构的销售佣金，佣金计算应经过恰当授权审批，佣金比例应有明确的合同条款约定。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落82,...职称或者具有同等专业水平，由招标人从国务院有关部门或者省、自治区、直辖市人民政府有关部门提供的专家名册或者招标代理机构的专家库内的相关专业的专家名单中确定；一般招标项目可以采取随机抽取方式，特殊招标项目可以由招标人直接确定。 与投标人有利害关系的人不得进入相关项目的评标委员会；已经进入的应当更换。 评标委员会成员的名单在中标结果确定前应当保密。,9,low,needs_manual_review
SALE-018,销售,工程概预算与造价,公司应针对市场营销活动，制定严格的市场营销活动预算并严格按照预算执行，确保市场营销活动费用经过适当授权，及确保市场营销活动的合理性和真实性。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落950,（二） 新市场开发，市场营销策略，包括产品或服务定价与销售渠道，市场营销环境状况等；,14,low,needs_manual_review
SALE-019,销售,绩效考核,应收账款催缴，应有明确的职责分工，应与绩效考核相关联。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落135,（四）加强督查考核 加强跟踪分析，动态掌握年度计划和重点任务落实情况。加强督促检查，将年度重点工作和重大合作事项纳入市委、市政府重点工作督查范围。建立评估制度，适时组织第三方评估机构对本实施方案落实进展进行评估。建立通报制度，定期将年度工作落实情况和第三方评估结果向领导小组报告，并在一定范围内通报。加强考核管理，研究将相关工作成效和第三方评估结果纳入部门和单位绩效考核的内容。 中国（上海）自由贸易试验区临港新片区管理办法,13,low,needs_manual_review
SALE-020,销售,收款,公司销售部门对收款记录和催款记录应记录规范和完整，并妥善保存。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落914,...策略目标，针对企业战略、规划、产品研发、投融资、市场运营、财务、内部审计、法律事务、人力资源、采购、加工制造、销售、物流、质量、安全生产、环境保护等各项业务管理及其重要业务流程，通过执行风险管理基本流程，制定并执行的规章制度、程序和措施。,4,low,needs_manual_review
SALE-021,销售,客户信用管理,公司应定期编制账龄分析表，及时催收已过信用期的款项，并对账龄较长的款项进行分析。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落722,第二十五条审计机关应当对单位报送的备案资料进行分析，将其作为编制年度审计项目计划的参考依据。,7,low,needs_manual_review
SALE-022,销售,银行密钥印鉴及票据管理,公司应指定非销售人员定期对应收账款、应收票据、预收账款等与客户直接进行核对。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落937,（二） 现金流、应收账款及其占销售收入的比重、资金周转率；,8,low,needs_manual_review
SALE-023,销售,银行密钥印鉴及票据管理,公司应详细记录销售客户、销售合同、销售通知、发运凭证、商业票据、款项收回等情况，确保会计记录、销售记录与仓储记录核对一致。,《企业内部控制应用指引第9号——销售业务》（财会〔2010〕11号）；《中华人民共和国民法典》；《中华人民共和国城市房地产管理法》；《商品房销售管理办法》；《上海市住房租赁条例》；《上海市国资委关于进一步完善市国资委监管企业不动产租赁管理工作的实施意见》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落992,（九） 建立重要岗位权力制衡制度，明确规定不相容职责的分离。主要包括：授权批准、业务经办、会计记录、财产保管和稽核检查等职责。对内控所涉及的重要岗位可设置一岗双人、双职、双责，相互制约；明确该岗位的上级部门或人员对其应采取的监督措施和应负的监督责任；将该岗位作为内部审计的重点等。,7,low,needs_manual_review
CONT-001,合同管理,合同档案管理,公司应建立合同管理制度，对合同分类、文本拟定、合同审批、合同保管、合同专用章保管等环节的岗位职责、审批权限、工作流程进行明确规范。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落107,第六十条 中标人不履行与招标人订立的合同的，履约保证金不予退还，给招标人造成的损失超过履约保证金数额的，还应当对超过部分予以赔偿；没有提交履约保证金的，应当对招标人的损失承担赔偿责任。 中标人不按照与招标人订立的合同履行义务，情节严重的，取消其二年至五年内参加依法必须进行招标的项目的投标资格并予以公告，直至由工商行政管理机关吊销营业执照。 因不可抗力不能履行合同的，不适用前两款规定。,7,low,needs_manual_review
CONT-002,合同管理,信息安全管理,应建立合同信息安全保密制度，应防止任何形式的商业秘密或国家机密泄露。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落448,（四）教唆、引诱、帮助他人违反保密义务或者违反权利人有关保守商业秘密的要求，获取、披露、使用或者允许他人使用权利人的商业秘密。 经营者以外的其他自然人、法人和非法人组织实施前款所列违法行为的，视为侵犯商业秘密。 第三人明知或者应知商业秘密权利人的员工、前员工或者其他单位、个人实施本条第一款所列违法行为，仍获取、披露、使用或者允许他人使用该商业秘密的，视为侵犯商业秘密。 本法所称的商业秘密，是指不为公众所知悉、具有商业价值并经权利人采取相...,12,low,needs_manual_review
CONT-003,合同管理,客户信用管理,合同谈判期间，公司应对合同对方主体的资格、信用状况、履约能力进行调查。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落129,...在电信、保险、证券、科研和技术服务、教育、卫生等重点领域，放宽注册资本、投资方式、经营范围等限制，促进各类市场主体公平竞争。制订商事登记改革创新方案，加快推出新片区涉企政务服务方案。 5.深化贸易自由。研究出台上海自贸试验区新片区海关特殊监管区域管理办法。支持浦东国际机场探索航空中转集拼业务。创新跨境电商服务模式，鼓励跨境电商企业在区内建立国际配送平台。 6.推动资金自由。研究出台金融支持上海自贸试验区新片区的相关措施。推动开展自由贸易...,10,low,needs_manual_review
CONT-004,合同管理,合同订立,对于影响重大、涉及较高专业技术或法律关系复杂的合同，应组织法律、技术、财会等专业人员参与谈判，必要时应聘请外部专家参与相关工作；谈判过程中的重要事项和参与谈判人员的主要意见，应予以记录并妥善保存。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落286,第四十二条调查人员应当严格执行调查方案，不得随意扩大调查范围、变更调查对象和事项。 对调查过程中的重要事项，应当集体研究后按程序请示报告。,23,low,needs_manual_review
CONT-005,合同管理,合同文本拟定,合同文本拟定内容应完整，表述应严谨，应明确表示合同标的物、数量、对价等，不得存在重大疏漏和欺诈；重大合同拟定应获得法律、技术、财会等专业人员指导。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落896,五、非财务报告内部控制的重大缺陷在内部控制审计过程中，我们注意到××公司的非财务报告内部控制存在重大缺陷[描述该缺陷的性质及其对实现相关控制目标的影响程度]。由于存在上述重大缺陷，我们提醒本报告使用者注意相关风险。需要指出的是，我们并不对××公司的非财务报告内部控制发表意见或提供保证。本段内容不影响对财务报告内部控制有效性发表的审计意见。 ××会计师事务所（盖章）中国××市 中国注册会计师：×××（签名并盖章） 中国注册会计师：×××（...,11,low,needs_manual_review
CONT-006,合同管理,合同签署与用印,合同签订应加盖有关印章、骑缝章，应有法人代表或授权代理人签字；授权代理人签订的合同应获得授权委托书；合同填写中不得存在留白；合同签订人未签订日期等。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落75,第三十一条 两个以上法人或者其他组织可以组成一个联合体，以一个投标人的身份共同投标。 联合体各方均应当具备承担招标项目的相应能力；国家有关规定或者招标文件对投标人资格条件有规定的，联合体各方均应当具备规定的相应资格条件。由同一专业的单位组成的联合体，按照资质等级较低的单位确定资质等级。 联合体各方应当签订共同投标协议，明确约定各方拟承担的工作和责任，并将共同投标协议连同投标文件一并提交招标人。联合体中标的，联合体各方应当共同与招标人签订...,8,low,needs_manual_review
CONT-007,合同管理,合同档案管理,合同保管应规范，应建立合同保管台账；应对合同进行编号。,《企业内部控制应用指引第16号——合同管理》（财会〔2010〕11号）；《中华人民共和国民法典》；沪国资委法规〔2022〕2号《上海市国资委监管企业合规管理办法》,【0204】外规汇编\第五篇 法律合规 第六篇 业务管理 第七篇 内部监督.docx；段落107,第六十条 中标人不履行与招标人订立的合同的，履约保证金不予退还，给招标人造成的损失超过履约保证金数额的，还应当对超过部分予以赔偿；没有提交履约保证金的，应当对招标人的损失承担赔偿责任。 中标人不按照与招标人订立的合同履行义务，情节严重的，取消其二年至五年内参加依法必须进行招标的项目的投标资格并予以公告，直至由工商行政管理机关吊销营业执照。 因不可抗力不能履行合同的，不适用前两款规定。,7,low,needs_manual_review
